daymonth,weather,max_temp (Celsius),min_temp (Celsius),wind (km/h),rain (mm),humidity (percentage),cloud (percentage),pressure (millibar),year,avg_temp (Celsius)
1-Jan-09,Sunny,18,6,7,0,41,12,1024,2009,12
6-Jan-09,Sunny,18,7,7,0,36,19,1019,2009,12.5
12-Jan-09,partly cloud,15,8,5,0.1,46,41,1019,2009,11.5
17-Jan-09,partly cloud,15,8,7,0,54,27,1019,2009,11.5
22-Jan-09,Sunny,16,5,7,0,52,3,1017,2009,10.5
27-Jan-09,Sunny,16,5,7,0,52,3,1017,2009,10.5
1-Feb-09,Sunny,17,5,6,0,54,8,1018,2009,11
5-Feb-09,Sunny,17,5,6,0,55,4,1021,2009,11
9-Feb-09,Sunny,17,6,8,0,45,3,1024,2009,11.5
14-Feb-09,Sunny,18,6,8,0,35,22,1024,2009,12
18-Feb-09,Sunny,23,10,8,0,28,1,1013,2009,16.5
19-Feb-09,Sunny,23,10,8,0,28,1,1013,2009,16.5
24-Feb-09,Sunny,18,6,6,0,35,21,1022,2009,12
1-Mar-09,Sunny,18,7,8,0,31,23,1024,2009,12.5
6-Mar-09,partly cloud,17,6,7,0,33,29,1026,2009,11.5
11-Mar-09,partly cloud,19,5,6,0,38,28,1025,2009,12
16-Mar-09,Sunny,21,9,6,0,40,47,1023,2009,15
21-Mar-09,Cloudy,14,10,6,9.9,77,77,1023,2009,12
26-Mar-09,Sunny,18,10,6,1.4,79,29,1021,2009,14
31-Mar-09,Mist,10,7,6,10.6,88,60,1018,2009,8.5
5-Apr-09,Sunny,16,6,7,0.1,74,4,1021,2009,11
10-Apr-09,Sunny,19,6,7,0,51,11,1020,2009,12.5
15-Apr-09,Sunny,20,7,6,0,48,16,1018,2009,13.5
20-Apr-09,Sunny,21,8,6,0,49,2,1017,2009,14.5
25-Apr-09,Sunny,21,8,7,0,50,19,1018,2009,14.5
30-Apr-09,Sunny,23,12,4,0,47,29,1016,2009,17.5
5-May-09,partly cloud,16,9,9,7.3,79,36,1014,2009,12.5
10-May-09,Sunny,19,10,10,0.1,66,20,1014,2009,14.5
15-May-09,Sunny,18,9,6,0.2,67,29,1017,2009,13.5
20-May-09,Sunny,20,7,6,0,54,7,1016,2009,13.5
25-May-09,Sunny,20,8,8,0,48,4,1016,2009,14
30-May-09,Sunny,19,8,9,0,51,4,1017,2009,13.5
4-Jun-09,Sunny,20,7,9,0,40,11,1016,2009,13.5
9-Jun-09,Sunny,21,8,8,0,36,1,1016,2009,14.5
10-Jun-09,Sunny,21,8,8,0,36,1,1016,2009,14.5
15-Jun-09,Sunny,20,7,6,0,37,30,1017,2009,13.5
20-Jun-09,Sunny,21,10,6,0.5,50,24,1018,2009,15.5
24-Jun-09,Sunny,21,8,8,0.7,49,15,1017,2009,14.5
29-Jun-09,Overcast,12,8,8,7.2,81,64,1016,2009,10
4-Jul-09,Sunny,16,7,8,1,72,19,1020,2009,11.5
7-Jul-09,Sunny,21,8,8,0.7,49,15,1017,2009,14.5
12-Jul-09,Overcast,12,8,8,7.2,81,64,1016,2009,10
18-Jul-09,Sunny,16,7,8,1,72,19,1020,2009,11.5
19-Jul-09,Sunny,16,7,8,1,72,19,1020,2009,11.5
25-Jul-09,Sunny,16,7,8,1,72,19,1020,2009,11.5
31-Jul-09,Sunny,19,5,6,0,54,15,1020,2009,12
6-Aug-09,Sunny,21,6,9,0,43,7,1019,2009,13.5
17-Aug-09,partly cloud,17,10,7,0,47,40,1018,2009,13.5
21-Aug-09,partly cloud,12,8,5,4.7,81,45,1015,2009,10
27-Aug-09,Sunny,18,8,4,0.2,75,30,1016,2009,13
2-Sep-09,partly cloud,18,11,5,2.5,79,59,1017,2009,14.5
8-Sep-09,Patchy light drizzle,16,10,6,6.6,79,58,1012,2009,13
14-Sep-09,Sunny,18,8,7,2,77,27,1017,2009,13
20-Sep-09,Sunny,19,7,10,0,56,2,1017,2009,13
22-Sep-09,Sunny,19,7,10,0,56,2,1017,2009,13
28-Sep-09,Sunny,20,6,7,0,52,22,1017,2009,13
4-Oct-09,Sunny,21,9,7,0,43,22,1017,2009,15
10-Oct-09,Sunny,22,8,10,0,44,3,1017,2009,15
16-Oct-09,Sunny,22,8,10,0,44,3,1017,2009,15
22-Oct-09,Sunny,22,9,12,0.5,46,19,1015,2009,15.5
26-Oct-09,Sunny,21,10,4,0.4,63,17,1018,2009,15.5
1-Nov-09,Sunny,21,9,9,0.1,48,27,1019,2009,15
7-Nov-09,Sunny,19,10,6,2.2,67,38,1013,2009,14.5
13-Nov-09,Light rain shower,18,11,3,3.1,81,45,1012,2009,14.5
19-Nov-09,Sunny,22,10,8,1.5,69,17,1011,2009,16
25-Nov-09,partly cloudy,20,9,8,0,46,28,1012,2009,14.5
1-Dec-09,Sunny,22,12,8,0,30,17,1013,2009,17
7-Dec-09,Sunny,27,12,9,0,37,18,1014,2009,19.5
13-Dec-09,Thundery outbreaks possible,27,15,11,0.3,49,22,1010,2009,21
19-Dec-09,Sunny,27,13,8,0,48,10,1011,2009,20
25-Dec-09,Sunny,26,12,9,0,37,2,1012,2009,19
31-Dec-09,Overcast,26,11,8,0,34,36,1012,2009,18.5
6-Jan-09,Sunny,25,12,8,0.3,39,12,1013,2009,18.5
12-Jan-09,Sunny,23,11,8,0,35,32,1012,2009,17
18-Jan-09,Sunny,24,11,9,0,34,9,1016,2009,17.5
24-Jan-09,Sunny,26,10,10,0,28,1,1018,2009,18
2-Feb-09,Sunny,29,11,8,0,24,2,1014,2009,20
8-Feb-09,Sunny,30,13,9,0,21,14,1015,2009,21.5
14-Feb-09,Sunny,30,13,8,0,21,15,1016,2009,21.5
19-Feb-09,Sunny,30,13,8,0,24,6,1013,2009,21.5
25-Feb-09,Sunny,29,15,8,0,28,16,1012,2009,22
2-Mar-09,Sunny,29,15,8,0.8,39,15,1013,2009,22
8-Mar-09,Thundery outbreaks possible,24,14,7,0.4,48,27,1014,2009,19
14-Mar-09,Sunny,28,14,7,0.1,43,20,1011,2009,21
18-Mar-09,Patchy rain possible,21,12,8,3.7,61,28,1011,2009,16.5
23-Mar-09,Sunny,25,10,8,0,47,8,1014,2009,17.5
29-Mar-09,Sunny,27,12,9,0,31,5,1014,2009,19.5
4-Apr-09,Sunny,28,13,10,0,32,25,1015,2009,20.5
10-Apr-09,partly cloudy,22,13,10,6,66,66,1016,2009,17.5
